Player,Score,Percent_Positive,Total_Comments,Positive,Neutral,Negative,Rk,AV,Round,Pick,DrftYr,College,From,To,Age,G,GS,AV.1,Pos,Team,-9999
Tua Tagovailoa,30.371101766824722,0.09929078014184398,141,14,90,37,175,24.0,1,5,2020,Alabama,2020,2023,22-25,47,45,24.0,QB,MIA,TagoTu00
Kyle Dugger,79.7196617424488,0.10232558139534884,215,22,154,39,327,15.0,2,37,2020,Lenoir-Rhyne,2020,2023,24-27,55,46,15.0,DB,NWE,DuggKy00
Patrick Queen,29.97926554083824,0.24375,160,39,72,49,142,27.0,1,28,2020,Louisiana State,2020,2023,21-24,62,62,27.0,LB,BAL,QueePa00
Henry Ruggs III,58.05102941393852,0.10476190476190476,210,22,138,50,552,8.0,1,12,2020,Alabama,2020,2021,21-22,20,19,8.0,WR,LVR,RuggHe00
Isaiah Simmons,11.939158380031586,0.2119205298013245,151,32,68,51,272,18.0,1,8,2020,Clemson,2020,2023,22-25,62,38,18.0,S,ARINYG,SimmIs00
Jaylon Johnson,46.68480461835861,0.25287356321839083,87,22,49,16,379,13.0,2,50,2020,Utah,2020,2023,21-24,49,49,13.0,LCB,CHI,JohnJa13
Willie Gay Jr.,28.163298815488815,0.16546762589928057,139,23,76,40,328,15.0,2,63,2020,Mississippi State,2020,2023,22-25,52,42,15.0,RLB,KAN,GayJWi00
Tristan Wirfs,76.76352280378342,0.17341040462427745,173,30,111,32,64,37.0,1,13,2020,Iowa,2020,2023,21-24,57,57,37.0,T,TAM,WirfTr00
Jonathan Taylor,70.126823335886,0.267515923566879,157,42,80,35,89,33.0,2,41,2020,Wisconsin,2020,2023,21-24,50,46,33.0,RB,IND,TaylJo02
Van Jefferson,27.28324282169342,0.1134020618556701,97,11,64,22,378,13.0,2,57,2020,Florida,2020,2023,24-27,55,33,13.0,WR,ATLLAR,JeffVa00
Grant Delpit,16.304696321487427,0.12631578947368421,95,12,55,28,491,9.0,2,44,2020,Louisiana State,2021,2023,23-25,43,34,9.0,S,CLE,DelpGr00
Kristian Fulton,22.778252333402634,0.14285714285714285,112,16,65,31,465,10.0,2,61,2020,Louisiana State,2020,2023,22-25,41,36,10.0,CB,TEN,FultKr00
A.J. Epenesa,36.92760944366455,0.23684210526315788,152,36,72,44,629,6.0,2,54,2020,Iowa,2020,2023,22-25,55,4,6.0,DE,BUF,EpenAJ00
Chase Young,76.40599405765533,0.19090909090909092,220,42,129,49,261,19.0,1,2,2020,Ohio State,2020,2023,21-24,37,32,19.0,DE,SFOWAS,YounCh04
Jordyn Brooks,49.0014234483242,0.14685314685314685,143,21,89,33,264,18.0,1,27,2020,Texas Tech,2020,2023,23-26,58,50,18.0,LB,SEA,BrooJo01
Kenneth Murray,23.45742639899254,0.19852941176470587,136,27,67,42,289,17.0,1,23,2020,Oklahoma,2020,2023,22-25,55,49,17.0,RLB,LAC,MurrKe00
Antoine Winfield Jr.,53.598331570625305,0.21311475409836064,122,26,70,26,259,19.0,2,45,2020,Minnesota,2020,2023,22-25,53,53,19.0,S,TAM,WinfAn00
KJ Hamler,38.736946761608124,0.0975609756097561,123,12,84,27,689,5.0,2,46,2020,Penn State,2020,2022,21-23,23,6,5.0,WR,DEN,HamlKJ00
Yetur Gross-Matos,-37.32524108886719,0.11304347826086956,230,26,106,98,352,14.0,2,38,2020,Penn State,2020,2023,22-25,49,26,14.0,RDE,CAR,GrosYe00
Laviska Shenault Jr.,-46.55161517858505,0.12558139534883722,215,27,89,99,417,12.0,2,42,2020,Colorado,2020,2023,22-25,51,26,12.0,WR,CARJAX,ShenLa00
Noah Igbinoghene,64.54500299692154,0.12941176470588237,170,22,114,34,748,4.0,1,30,2020,Auburn,2020,2023,21-24,36,5,4.0,CB,DALMIA,IgbiNo00
Javon Kinlaw,23.428995549678802,0.09433962264150944,106,10,69,27,406,12.0,1,14,2020,South Carolina,2020,2023,23-26,35,23,12.0,LDT,SFO,KinlJa00
D'Andre Swift,76.63147205114365,0.18433179723502305,217,40,126,51,220,21.0,2,35,2020,Georgia,2020,2023,21-24,51,26,21.0,RB,DETPHI,SwifDA00
